%ename 
%prompt ?
%selkey 1234567890
%dupsel 10
%keyname begin
thwy 自信
thxe 延缓
thxf 延续
thxj 自费
thxk 自强
thxl 自幼
thxw 自给
thxy 自编
thyf 算计
thyg 自主
thyk 延误
thyn 片刻
thyp 自豪
thyt 衢州
thyy 处方
ti 秒
tiaf 科学工作者
tiai 毛泽东
tiaq 自治区
tias 毛泽东思想
tiaw 科学著作
tiay 科学共产主义
tibp 科学院
tidd 稍大
tide 稍有
tidf 自学成才
tidi 长江三角洲
tidm 长江三峡
tidp 科学研究
tidq 积少成多
tids 长江大桥
tidy 科学态度
tie 稍
tief 筲
tieg 自治县
tiek 生活用品
tiet 生活服务
tif 衍
tifb 策源地
tifh 衍
tifn 愆
tifp 科学考察
tig 簿
tige 秒表
tigf 簿
tigi 稍不
tigo 科学事业
tigt 冬小麦
tigy 科学理论
tihh 生活上
tiif 选举法
tiig 生活水平
tiih 稍小
tijf 每小时
tikm 特派员
tilj 香港回归
tilw 科学界
tim 徜
timk 徜
tink 生活必需品
tinn 生活习惯
tint 科学性
tint 自觉性
tion 短小精悍
tipc 科学实验
tipe 科学家
tipy 科学社会主义
tiqd 利润留成
tiqi 知法犯法
tiqk 秒钟
tiqp 长治久安
tir 箔
tirf 箔
tirg 稍后
tirl 科学技术是第一生产力
tirp 科学技术兴农
tirs 科学技术
tirt 生活气息
tirw 科学技术委员会
tisc 选举权
tit 秒
tita 香港特别行政区
titd 自觉自愿
titf 稍等
titg 科学管理
titi 稍稍
titj 生活待遇
titl 科学种田
titm 稍微
titp 我党我军
titt 秒
titw 生活条件
tity 科学知识
tiud 稍差
tiue 科学普及
tivb 稍好
tiwf 生活会
tiwg 毛尚全
tiwk 科学仪器
tiwm 生活作风
tiwq 稍低
tiwr 科学依据
tiws 科学分析
tiwt 稍作
tiww 乱涨价
tiwx 科学化
tixc 生活经验
tixe 生活费用
tixj 生活费
tixs 科学幻想
tiya 各省市自治区
tiyc 科学试验
tiyi 科学方法
tiyl 稍为
tiym 长沙市
tiyt 稍许
tiyt 自治州
tiyw 科学文化
tiyx 利润率
tiyy 科学论证
tj 得
tjad 每星期
tjaf 身临其境
tjag 长时期以来
tjai 利落
tjal 复苏
tjbb 筛子
tjbi 复函
tjbm 复出
tjbn 得了
tjbs 微电子技术
tjcn 千里马
tjdr 复原
tjdy 物归原主
tjet 利用
tjey 微电脑
tjf 香
tjfa 毛里求斯
tjfg 毛里塔尼亚
tjfi 得救
tjfn 得志
tjfp 利索
tjg 得
tjgc 得到
tjgf 篮球
tjgf 笪
tjgh 筛
tjgr 律师事务所
tjh 利
tjia 香港
tjif 得法
tjit 复活
tjiu 利润
tjiv 得当
tjiw 复兴
tjjn 复电
tjkf 香味
tjkg 得逞
tjkm 复员
tjld 得罪
tjlg 利国
tjlt 得力
tjmm 香山
tjna 利民
tjnk 复辟
tjnn 利己
tjnt 复发
tjnu 复习
tjny 得以
tjoi 稀里糊涂
tjol 香烟
tjoo 香火
tjou 香料
tjov 复数
tjpc 各显神通
tjpd 利害
tjpf 复赛
tjpg 千里之行始于足下
tjpt 千里之行
tjqg 复印
tjqk 得名
tjr 犁
tjrh 犁
tjrm 复制
tjrs 简明扼要
tjrt 得手
tjrw 得失
tjs 梨
tjsf 得票
tjsj 复查
tjsu 梨
tjsy 复核
tjsy 稞
tjt 复
tjtd 香甜
tjtf 筛选
tjth 利息
tjtj 得利
tjtl 篮
tjtt 馥
tjtu 利税
tjty 每时每刻
tjuj 得意
tjuj 毛昱音
tjum 利弊
tjuq 得奖
tjuw 利益
tjvs 复杂
tjwc 选贤任能
tjwg 复合
tjws 得体
tjwv 得分
tjww 利欲
tjwy 复信
tjxg 复线
tjya 复试
tjyg 得主
tjyj 复课
tjyt 利诱
tjyx 利率
tjyy 复议
tk 各
tkaa 各式
tkad 各项
tkaw 种花
tkay 积蓄
tkay 和蔼
tkbb 种子
tkbc 积聚
tkbw 先遣队
tkdb 稳中有降
tkde 各有
tkdf 积压
tkdh 积存
tkec 积肥
tkeg 各县
tkf 各
tkfb 种地
tkfn 和声
tkfv 积雪
tkg 和
tkgg 程
tkgh 和政
tkgt 特别严重
tkgu 和平
tkgy 矢口否认
tkh 种
tkhf 和睦
tkhh 种
tkhm 篑
tkii 积水
tkim 和尚
tkit 各省
tkiy 特别法庭
tkjg 特别是
tkjq 和煦
tkk 稆
tkkf 笑嘻嘻
tkkg 稆
tklg 各国
tkll 种田
tklw 各界
tklx 积累
tkm 禹
tkmy 禹
tkna 各异
tknn 和局
tkod 种类
tkog 各业
tkpw 复员军人
tkqb 积怨
tkqc 各色
tkqe 和解
tkqw 积欠
tkrn 和气
tkrp 程控
tkrt 积攒
tkse 积极
tksf 种植
tksl 重蹈覆辙
tksr 臭味相投
tksu 各样
tkta 特别行政区
tktf 各行
tkth 各自
tktk 各种
tkts 各条
tktu 各科
tkud 和善
tkuk 各部
tkuq 特别奖
tkus 和亲
tkvb 和好
tkw 积
tkwa 告别仪式
tkwf 委员会
tkwf 毛顺伟
tkwh 各个
tkwu 各位
tkwv 积分
tkww 各人
tkwy 雒
tkxe 和缓
tkxq 和约
tkxt 各乡
tkxy 特别强调
tkya 程度
tkyb 短距离
tkyc 程序
tkyo 和谈
tkyt 各族
tkyt 种族
tkyx 和谐
tkyy 各方
tl 务
tlay 备荒
tlb 务
tld 血
tlde 备有
tldf 血压
tldi 备耕
tldt 篾
tlej 血腥
tlet 备用
tlf 备
tlff 睾
tlfi 务求
tlg 箅
tlgj 箅
tlgn 智力开发
tlgt 自力更生
tlha 务虚
tlhk 备战
tlif 血汗
tlih 血泪
tlir 血泊
tlit 血洗
tliy 备注
tliy 血液
tljp 血晕
tlk 徊
tlkf 笳
tlkg 徊
tlmw 血肉
tln 惫
tlnf 衄
tlnn 血书
tlnt 务必
tlnu 惫
tlo 粤
tlon 粤
tlou 备料
tlp 笾
tlpe 务农
tlpl 生力军
tlpu 务实
tlpu 笾
tlpv 备案
tlq 箩
tlqc 血色
tlqi 囱
tlqi 囟
tlqu 箩
tlru 智力投资
tlsj 备查
tlta 箩筐
tltn 利国利民
tltp 血管
tlty 第四季度
tlu 衅
tluf 衅
tluh 靠边站
tluq 积累资金
tlvb 备好
tlw 稷
tlwf 各界人士
tlwg 务使
tlwn 各国人民
tlwr 备件
tlwt 稷
tlww 备份
tlxx 血缘
tlxy 血统
tlyg 务请
tlyj 备课
tlyn 特困户
tlyo 血迹
tm 向
tmaa 自由式
tmad 躲藏
tmai 微薄
tmal 秧苗
tman 身世
tmb 秃
tmbb 秃子
tmbj 向阳
tmc 役
tmcm 微观
tmcy 役
tmd 身
tmda 向左
tmdf 射
tmdi 乘风破浪
tmdi 千山万水
tmdk 躺
tmdm 颓
tmdq 躯
tmds 躲
tmdt 身
tmdx 躬
tmdy 秧
tmem 行贿受贿
tmf 笛
tmfc 奥运
tmfg 躯干
tmfk 稠
tmfm 射击
tmfp 躯壳
tmft 身教
tmfu 颓丧
tmfw 委曲求全
tmg 微
tmga 微型
tmgh 躺下
tmgk 筒
tmgo 向来
tmgr 委内瑞拉
tmgt 微
tmgt 徽
tmgt 徵
tmh 币
tmhh 身上
tmhk 币
tmia 牡丹江
tmih 微小
tmih 微波
tmiy 自由泳
tmjg 微量
tmjw 移风易俗
tmjy 身影
tmk 向
tmkd 向
tmkm 靠山吃山
tmlf 徽墨
tmlp 身边
tmlq 微软
tmmq 微风
tmmt 颓败
tmmw 向内
tmnf 向导
tmnk 躲避
tmny 身心
tmo 奥
tmod 奥
tmou 微粒
tmpj 先见之明
tmpn 稠密
tmpu 生财之道
tmpw 身穿
tmq 秽
tmqb 笕
tmqg 身败名裂
tmqh 向外
tmqj 自由贸易
tmqy 秽
tmrg 身后
tmrt 身手
tmsf 身材
tmsg 向西
tmsk 秧歌
tmsl 血肉相连
tmsm 微机
tmtb 咎由自取
tmti 奥秒
tmtk 射程
tmtm 身躯
tmtn 奥秘
tmtt 微笑
tmty 向往
tmue 向前
tmuj 徽章
tmup 身旁
tmuq 自由竞争
tmuw 躲闪
tmux 向北
tmvi 微妙
tmvi 奥妙
tmwg 躺倒
tmws 身体
tmws 躯体
tmwv 身分
tmww 身份
tmww 身价
tmwx 自由化
tmxf 和风细雨
tmxg 射线
tmxl 微细
tmxu 微弱
tmym 身高
tmyn 颓废
tmyn 身亡
tmyv 颓唐
tmyy 自由主义
tn 秘
tnab 各司其职
tnac 特异功能
tnae 物尽其用
tnb 乞
tnbb 筷子
tned 知心朋友
tnfi 乞求
tng 笥
tngh 乞丐
tngk 笥
tngt 税收政策
tnip 自民党
tnkq 秘史
tnlt 向心力
tnn 筷
tnnn 秘书
tnnt 自发性
tnnw 筷
tnp 迄
tnpn 秘密
tnpv 迄
tnqg 秘鲁
tnrc 各尽所能
tnrw 先发制人
tnry 税收制度
tnsb 身居要职
tnsi 徇情枉法
tnt 秘
tnta 秘书长
tntg 入情入理
tnth 处心积虑
tntt 知己知彼
tntu 利改税
tnvu 称心如意
tnww 知情人
tnwy 迄今
tnxj 乱收费
tnxr 身怀绝技
tnyf 乞讨
tnyi 各民主党派
tnyj 自以为是
tnyl 自以为
tnyn 秘诀
tnyr 得心应手
tnyt 各民族
tnyw 身居高位
tnyy 秘方
to 秋
toad 愁苦
toc 释
toch 释
todi 秋耕
toeu 翻腾
toew 翻脸
tofc 翻动
tofh 翻越
tofq 生米煮成熟饭
toga 翻开
togd 秋天
togm 行业不正之风
togr 待业青年
toiu 翻滚
tokg 番号
tol 番
tolb 鄱
tolf 翻转
tolg 翻车
toln 翻
tom 釉
tomg 釉
tomq 秋风
ton 悉
tonh 秋收
tonr 簖
tonu 愁
tonx 悉尼
tony 悉心
tooy 秋粮
topw 愁容
toqc 秋色
toqg 翻印
torg 秋后
tort 秋播
totb 秋季
totf 秋千
toth 翻版
totm 翻身
toto 翻番
totu 秋冬
tous 翻新
touu 翻阅
tov 篓
tovf 翻建
towb 待业保险
towh 翻修
toxf 愁绪
toxt 释疑
toy 秋
toyc 翻译
toyq 释义
toyt 释放
tp 管
tpai 知之甚少
tpaq 各军区
tpdc 千军万马
tpdq 处之泰然
tpdu 行之有效
tpdy 千家万户
tpe 稼
tpey 稼
tpfg 先富起来
tpfl 航空运输
tpft 管教
tpgj 管理
tpgk 管束
tpgo 航空事业
tpi 乏
tpib 航空学院
tpkf 乏味
tplp 管辖
tpn 管
tpnn 管
tpnr 稳定局势
tpnt 稳定性
tpop 延安精神
tppe 管家
tpq 箢
tpqb 箢
tprg 航空兵
tprm 管制
tprt 各军兵种
tpsr 笑容可掬
tptf 长安街
tptu 航空航天工业部
tptw 稳定物价
tpty 各家各户
tput 管道
tpvb 管好
tpw 箜
tpwa 箜
tpwn 航空公司
tpxg 管线
tpxt 航空母舰
tpxx 秘密组织
tpyl 称之为
tq 称
tqai 稀薄
tqbj 衡阳
tqbk 称职
tqbw 先锋队
tqck 适销对路
tqd 稀
tqdc 称雄
tqde 稀有
tqdh 衡
tqdo 千锤百炼
tqdq 自然而然
tqds 稀奇
tqef 自负盈亏
tqev 稳妥
tqf 衔
tqfa 移栽
tqfb 自留地
tqfc 移动
tqff 稀土
tqfh 衔
tqfr 臭名远扬
tqft 自然规律
tqfy 自然增长率
tqgf 自然环境
tqgn 千钧一发
tqhi 稳步
tqi 称
tqii 衡水
tqit 稀少
tqiv 稳当
tqiy 称
tqj 徇
tqja 臭名昭著
tqje 黎明
tqjg 衡量
tqk 笱
tqkf 笱
tqkg 称号
tqkk 衡器
tqkt 称呼
tqld 稳固
tqlt 自然力
tqlw 自然界
tqmi 自然风光
tqna 移民
tqna 黎民
tqnd 移居
tqng 徇情
tqnh 稀疏
tqnn 知错必改
tqnn 翻然悔悟
tqny 称心
tqpg 稳定
tqpp 自然灾害
tqpt 身外之物
tqpw 稀罕
tqq 移
tqqy 移
tqr 笏
tqrh 向钱看
tqrq 篼
tqrr 笏
tqru 衔接
tqsf 移植
tqsm 复印机
tqsw 稀松
tqt 黎
tqtc 徇私
tqtf 称赞
tqtg 稳重
tqti 自然科学
tqtn 笨鸟先飞
tqto 稀释
tqto 黧
tqtq 自然科学基金
tqtw 身负重任
tqud 移送
tqug 自然美
tqui 自然资源
tquq 移交
tqut 称道
tqv 稳
tqvh 筝
tqvn 稳
tqwa 自然保护区
tqwc 称颂
tqwf 逢凶化吉
tqwr 自然保护
tqwv 稳健
tqwy 稳住
tqya 知名度
tqyl 称谓
tqyt 称许
tqyt 黎族
tqyv 生儿育女
tr 物
tra 箍
trad 物质基础
traf 箝
trah 箍
traj 牧草
trap 犒劳
traq 特区
traq 牧区
trau 科技攻关
traw 科技工作
trbm 特出
trbp 我院
trbw 科技队伍
trc 筢
trcb 筢
trch 箨
trd 犄
trdd 特大
trde 特有
trdg 牯
trdi 科技大学
trdj 科技成果
trdk 犄
tret 御用
trf 特
trfa 逢年过节
trfb 特地
trfd 犊
trff 生气勃勃
trfg 牡
trfh 循
trfj 特刊
trfl 往返运输
trfn 牧场
trfp 科技支农
trfu 科技进步奖
trg 徨
trgf 篁
trgg 循环
trgg 徨
trgi 物质刺激
trgj 物理
trgk 牾
trgn 科技开发
trgq 特殊
trh 御
trhb 御
trhk 特点
trhm 篪
trhw 犋
trhx 特此
trhy 笊
tri 穆
trid 科技兴邦
trie 穆
trif 科技活动
trig 短斤少两
trip 犒赏
trir 特派
trit 我省
triy 物流
trjg 牧师
trjr 科技日技
trjy 程控电话
trk 筘
trkf 筘
trkk 物品
trkl 特别
trlg 我国
trlj 物质力量
trlk 特辑
trln 科技图书
trlt 物力
trlw 科技界
trmb 乱扣帽子
trmm 长白山
trmp 物质财富
trmy 牡丹
trn 我
trna 牧民
trna 特异
trnf 臭氧层
trng 鹅
trnm 各持己见
trnm 各抒己见
trnn 特快
trnr 科技情报
trnt 特性
trog 牧业
trou 物料
trpf 御寒
trpg 特定
trpg 特写
trpl 我军
trpu 徒手空拳
trq 物
trqc 特色
trqc 物色
trql 籀
trqn 科技馆
trqr 物
trqv 特急
trrf 物质
trrf 特技
trrm 特制
trrn 我所
trrq 我的
trrv 科技热
trry 特邀
trs 牺
trsc 特权
trsg 牺
trsk 牧歌
trsr 短兵相接
trsu 我校
trt 牧
trta 特长
trtd 御敌
trtf 特等
trtf 鹅毛
trtf 稗
trtg 特征
trtg 牲
trth 我处
trti 物质生活
trtj 物质待遇
trtk 特种
trtk 物种
trtk 牿
trtl 特务
trtm 特向
trtn 牦
trtq 自制自销
trtr 牺牲
trtu 物质生产
trtv 特委
trtw 矫揉造作
trty 牧
trud 牧羊
trud 延年益寿
trui 科技交流
truj 特意
truj 牧童
truk 短缺商品
truq 物资
truq 特效
truq 特将
trus 程控交换机
trut 特产
trut 物产
truu 科技新闻
truy 科技咨询
trv 犍
trvp 犍
trw 秩
trwf 科技领域
trwg 特使
trwg 特例
trwk 科技人员
trwr 物件
trws 物体
trwt 科技信息
trwu 我们
trww 物价
trwy 秩
trx 牝
trxe 特级
trxn 牝
trxq 特约
try 徼
trya 犏
tryc 秩序
tryc 循序
tryf 科技市场
tryg 物证
tryi 物质文化生活
tryj 物质文明
tryk 犒
tryl 特为
trym 血气方刚
tryt 特许
tryt 徼
tryx 牲畜
tryy 我方
ts 条
tsad 奥林匹克
tsaf 重要贡献
tsah 重要项目
tsaw 重要著作
tsbb 箱子
tscg 积极参与
tscl 积极参加
tscr 自相矛盾
tsdh 适可而止
tsdl 重要原因
tsdw 入木三分
tsdy 积极态度
tsff 条款
tsfg 矫枉过正
tsfn 条块
tsfr 积极支持
tsg 笨
tsgf 笨
tsgg 重要一环
tsgj 条理
tsgn 积极开展
tsh 箱
tshf 箱
tshh 条目
tsj 簟
tsjj 簟
tsjk 积极影响
tslf 种植园
tslg 积极因素
tsmp 重要内容
tsnr 物极必反
tsnt 重要性
tsnt 积极性
tsog 种植业
tsrb 笨拙
tsrd 版权所有
tsrs 身材魁梧
tsry 重要措施
tss 篥
tssu 篥
tstf 积极行动
tstg 笨重
tstw 重要条件
tsu 条
tsuj 重要问题
tsuy 积极意义
tsuy 重要意义
tswb 积极分子
tswe 积极作用
tswe 重要作用
tswg 条例
tswr 条件
tsww 积极合作
tswy 条令
tsxc 重要经验
tsxq 条约
tsxy 条纹
tsy 秫
tsyf 重要文献
tsyj 重要说明
tsyw 重要文件
tsyy 条文
tsyy 秫
tt 笔
ttad 生长期
ttag 各行其事
ttaj 各行其是
ttal 禾苗
ttan 船舶工业总公司
ttao 船舶工业
ttaq 自得其乐
ttar 适得其反
ttat 微乎其微
ttbi 生物防治
ttcr 积重难返
ttd 笑
ttdc 自告奋勇
ttdd 千千万万
ttdg 造船厂
ttdo 千秋大业
ttdp 篷
ttdt 复种面积
ttdu 笑
ttdy 长篇大论
ttee 笑貌
ttet 微笑服务
ttew 笑脸
ttf 笔
ttff 冬季运动
ttfh 笔直
ttfn 笑声
ttfq 筅
ttfs 各种规格
ttft 笔者
ttfy 身先士卒
ttg 竹
ttga 各种形式
ttgf 笙
ttgg 自我表现
ttgh 笔下
ttgk 生物武器
ttgl 笔画
ttgs 微处理机
ttgt 千篇一律
tth 笮
tthf 笮
tthh 称得上
tthp 筵
tthx 各条战线
ttif 笔法
ttin 和稀泥
ttip 生物学
ttiu 各种渠道
ttiy 长篇小说
ttkk 牺牲品
ttkm 乘务员
ttl 丿
ttlc 重重困难
ttlf 笔墨
ttlg 自行车
ttll 丿
ttlu 生物圈
ttlw 怎么办
ttlx 篦
ttmg 短短几天
ttnn 税务局
ttnt 秭
ttnt 笫
ttnu 各种情况
ttny 生长发育
ttog 造船业
ttou 笑料
ttpj 自知之明
ttpn 先行官
ttpu 自我完善
ttpw 笑容
ttqk 笔名
ttrb 和盘托出
ttrk 生物制品
ttrn 税务所
ttro 复种指数
ttrq 短短的
ttrt 笔挺
ttru 徇私舞弊
ttry 自我批评
ttsc 息息相通
ttsg 笑柄
ttss 竹林
ttsu 怎么样
ttt 禾
tttb 秋冬季
tttg 我行我素
ttth 彳
ttto 各行各业
tttr 微生物
ttts 各种各样
tttt 自私自利
tttu 自身利益
tttw 笔答
ttuf 自选商场
ttui 生物资源
ttum 笔端
ttuq 特等奖
ttuu 简简单单
ttuy 循循善诱
ttvi 笔录
ttvy 自身建设
ttwf 筹委会
ttwf 奥委会
ttwf 管委会
ttws 德智体
ttwu 先生们
ttwy 靠得住
ttxm 笑纳
ttya 笔试
ttya 筵席
ttyc 笔译
ttyg 笑语
ttyg 各自为政
ttyj 种种迹象表明
ttyk 笔误
ttym 笔调
ttyn 笔记
ttyo 笔迹
ttyo 笑谈
ttyt 笑话
ttyx 生长率
ttyy 先入为主
tu 科
tuaa 生产工艺
tuaf 生产劳动
tuah 生产工具
tuan 街头巷尾
tuaq 乘警
tuax 特效药
tubg 简陋
tubw 乘除
tuca 重头戏
tucl 生产能力
tud 徉
tuda 千辛万苦
tudd 千姿百态
tudg 科研
tudh 徉
tudl 简历
tudp 生产厂家
tuds 生产成本
tudx 千头万绪
tue 箭
tuej 箭
tuf 笠
tuff 税款
tufh 简直
tufi 利益均沾
tufj 向前进
tufl 科协
tufr 垂头丧气
tufs 生产规模
tuft 科教
tugd 冬天
tugh 剩下
tugr 生产责任制
tugt 冬麦
tugy 科班
tuh 乎
tuha 乘虚
tuhh 科目
tuhh 税目
tuhk 乎
tuhx 生产战线
tuib 生意兴隆
tuic 物资流通
tuif 简洁
tuif 乘法
tuig 生产水平
tuii 得意洋洋
tuil 生产潜力
tuip 科学
tuiw 科举
tuiy 冬泳
tuj 简
tuje 简明
tujf 箪
tujg 生产量
tujj 螽
tujq 简易
tuk 税
tukm 科员
tukq 税
tulg 乘车
tuln 筋疲力尽
tult 简略
tumj 简则
tumt 毛冰峰
tunh 税收
tunn 物资局
tunq 和颜悦色
tunt 生产性
tuny 自尊心
tuob 身兼数职
tupg 科室
tupg 简写
tupl 毛善军
tupp 等闲视之
tupt 乘客
tupt 税额
tuqe 得道多助
tuqq 税金
tuqt 稳准狠
tuqt 毛善锋
turb 简报
turf 科技
turg 简捷
turh 向前看
turm 税制
turu 简拼
tusc 自决权
tusf 税票
tush 简朴
tusm 乘机
tusv 简要
tusy 简述
tuta 科长
tuta 毛遂自荐
tutb 冬季
tutd 简短
tute 乘船
tutf 生产自救
tutg 生产管理
tutj 税利
tutk 税种
tutl 税务
tutn 彻头彻尾
tutq 简称
tutv 科委
tutw 先决条件
tutx 生产第一线
tuty 生产秩序
tuu 冬
tuub 先头部队
tuud 箭头
tuuf 简装
tuui 物资交流
tuuj 简单
tuuj 简章
tuuk 简况
tuun 物资总局
tuuo 科普
tuus 冬闲
tuut 生产关系
tuuu 生产部门
tuuw 生产总值
tuuy 乘凉
tuvy 生产建设
tuwf 生产领域
tuwg 简便
tuwj 简介
tuws 简体
tuwt 剩余
tuwu 各单位
tuww 乘坐
tuwx 简化
tuwy 物美价廉
tux 乘
tuxa 简练
tuxc 生意经
tuxe 科级
tuxg 生产线
tuxj 剩
tuxr 惩前毖后
tuxv 乘
tuxy 简编
tuya 生产方式
tuyg 得意忘形
tuyg 毛善斌
tuyk 冬训
tuyn 简讯
tuyt 科普读物
tuyu 稳产高产
tuyx 税率
tuyy 重新认识
tv 委
tvcw 很难
tvdd 很大
tvdm 稳如泰山
tve 很
tve 簋
tvel 簋
tvey 很
tvf 委
tvfg 很坏
tvfh 律
tvgx 自始至终
tvih 很小
tvij 箫
tvir 委派
tvit 很少
tvjf 自即日起
tvjg 律师
tvjh 很早
tvk 笤
tvkf 笤
tvkm 委员
tvma 委曲
tvnb 委屈
tvnj 很慢
tvnn 很快
tvnt 复杂性
tvnw 第九届人民代表大会
tvny 委以
tvp 逶
tvpd 逶
tvpl 重建家园
tvpu 委实
tvqq 很多
tvr 魏
tvrc 魏
tvrt 委托
tvt 笋
tvta 很长
tvtb 逶迤
tvtd 很短
tvtg 很重
tvtr 笋
tvvb 很好
tvvp 委婉
tvwq 很低
tvwt 委任
tvwx 复杂化
tvyg 征婚启事
tvym 很高
tvys 委靡
tw 答
twa 筏
twal 自食其力
twar 筏
twbq 租赁承包
twbs 行使职权
twdf 生命在于运动
twdo 秉公而断
twdw 身价百倍
twf 符
twfa 各个地区
twfl 长途运输
twfl 短途运输
twfu 符
twfy 各个地方
twg 答
twgc 签到
twgf 筌
twgh 条件下
twgi 签
twgk 答
twgl 乱作一团
twgt 物价政策
twgu 簦
twh 筱
twhi 物价上涨
twht 筱
twi 黍
twik 黏
twiu 黍
twjy 长途电话
twkg 符号
twki 长途跋涉
twlf 签署
twlg 秉公办事
twlt 身体力行
twmu 生命财产
twn 篌
twna 物价改革
twnd 篌
twng 向人民负责
twnh 签收
twnn 物价局
twnt 签发
twnw 各人民团体
twny 自信心
twog 各企业
twpb 签字
twpg 签定
twpm 物价补贴
twpp 千分之
twpv 答案
twqk 签名
twrn 稚气
twro 物价指数
twrt 待人接物
twss 物价检查
twt 徐
twtg 每人每天
twtj 答复
twtr 每人每年
twty 徐
twud 答卷
twuq 筹集资金
twur 等价交换
twut 私人关系
twuu 各个部门
twuw 知人善任
twuy 答辩
twwa 第八个五年计划
twwf 各个领域
twwg 符合
twwo 私人企业
twwu 生命攸关
twww 特命全权大使
twwy 身体健康
twxa 租赁经营
twxg 生命线
twxq 签约
twy 稚
twyd 各个方面
twyg 签证
twyh 迄今为止
twyi 答应
twyn 答词
twyn 稔
twys 签订
twyt 徐州
twyt 答谢
twyu 私人访问
twyx 自作主张
tx 第
txad 每期
txag 第七
txap 繁荣
txat 系统工程
txbg 每隔
txbw 入乡随俗
txcw 繁难
txdg 敏感
txdh 身经百战
txdn 繁盛
txdx 千丝万缕
txe 篆
txee 每月
txen 胤
txeu 篆
txfg 第二
txfg 第十
txfu 各级干部
txfy 各级地方政府
txg 每
txgd 每天
txgf 系于
txgg 鳘
txgi 繁
txgi 繁琐
txgq 系列
txgq 繁殖
txgq 毓
txgt 敏
txgu 每
txgy 各级政府
txh 第
txht 第
txi 系
txin 向纵深发展
txit 各级党委
txiu 系
txiv 每当
txix 各级党组织
txjf 每时
txjg 利比里亚
txjj 每日
txkk 毛织品
txlh 第四
txlu 身强力壮
txmf 每周
txnt 系统性
txny 繁忙
txov 系数
txpe 每家
txqi 自费留学
txqq 繁多
txqu 敏锐
txrg 敏捷
txrh 每年
txrm 等级制
txry 等级制度
txsg 等级森严
txt 後
txtd 每逢
txtg 繁重
txti 繁衍
txtk 自给自足
txtx 每每
txty 後
txuk 短线产品
txuq 每次
txuy 第六
txvs 繁杂
txvt 第九
txwh 每个
txwn 各级领导
txws 繁体
txwt 第八
txwu 身强体壮
txww 每人
txwx 繁华
txwy 各级人民政府
txx 秕
txxd 毛纺织厂
txxf 筚
txxn 秕
txxx 各级组织
txxy 系统
txyc 繁育
txyn 每户
ty 入
tyaj 往昔
tyaw 造谣惑众
tyay 街谈巷议
tyb 篱
tybb 稿子
tybc 篱
tybg 入耳
tybk 自谋出路
tybo 自谋职业
tybw 入队
tyby 种族隔离
tycl 适应能力
tydg 自豪感
tydm 知识面
tydw 千变万化
tydy 千方百计
tyem 入股
tyfn 入场
tyfq 秩序井然
tyfq 秋毫无犯
tyfu 入境
tyg 往
tyga 长方形
tygg 往
tygh 往下
tygj 毛广惠
tygk 往事
tygm 程度不同
tygo 往来
tygr 知识青年
tygu 行为不端
tygy 短训班
tyhh 篇目
tyhp 种族歧视
tyi 入
tyif 循序渐进
tyip 往常
tyiu 汆
tyjj 往日
tyk 穰
tyke 穰
tykk 入口
tykw 造谣中伤
tylf 入团
tylw 知识界
tym 稿
tymf 循序见进
tymh 篇幅
tymk 篙
tymt 入账
tymw 入内
tyn 彷
tyna 篇
tynt 适应性
tynx 簏
tyny 彻底改变
tyo 籴
tyop 入迷
tyou 籴
typp 简言之
typw 答谢宴会
typy 入神
tyqh 往外
tyqu 彻底解决
tyrc 往返
tyrd 秋高气爽
tyre 簇拥
tyrg 往后
tyrh 往年
tyrr 程序控制
tyrt 入手
tysc 自主权
tysg 笔记本
tyt 簇
tytc 篱笆
tytd 自高自大
tytf 入选
tytj 往复
tytr 彷徨
tytu 入冬
tyty 往往
tyue 往前
tyuj 篇章
tyur 知识产权保护
tyus 簇新
tyuy 入门
tyv 稂
tyve 稂
tyvi 备忘录
tyvw 各族群众
tywb 入仓
tywf 入会
tywg 入伍
tywi 私设公堂
tywl 丢卒保车
tywn 各族人民
tywo 入伙
tywr 稿件
tywv 入侵
tywx 知识化
tyxa 繁文缛节
tyxs 知识结构
tyya 毛主席
tyyl 入库
tyym 徐州市
tyyq 毛广义
tyyt 德高望重
tyyw 入夜
tyyw 入座
tyyy 种族主义
u 产
ua 并
uaaa 闭幕式
uaaf 辛勤劳动
uaan 新工艺
uaaw 辛勤工作
uabb 瓶子
uabp 总医院
uabu 并联
uaca 瓶颈
uace 并能
uade 并有
uadg 奠基石
uadh 并存
uadj 并非
uadv 亲切友好
uaef 立功受奖者
uaeg 并且
uaet 并用
uaeu 立功受奖
uaf 疳
uafc 盖世无双
uafd 疳
uafi 并未
uafj 并进
uafl 半劳动力
uafm 新贡献
uafq 并无
uafw 旁若无人
uag 瓶
uagd 疟
uagi 并不
uagn 瓶
uagq 并列
uagq 迸裂
uai 冻
uaiw 并举
uaiy 冻
uaj 并
uajd 瘼
uak 阈
uakg 阈
ualf 并转
ualn 奖勤罚懒
ualt 并力
ualw 新世界
uam 癀
uaml 将功赎罪
uamp 奠基典礼
uamw 癀
uant 迸发
uany 前功尽弃
uaop 总营业额
uap 迸
uapd 冻害
uapk 迸
uapl 痨
uarb 并报
uard 并排
uarj 并提
uarl 将功折罪
uarp 并按
uasu 新花样
uasv 并要
uatf 并行
uatg 并重
uatj 总工程师
uaty 并入
uauf 瓶装
uauq 单项奖
uauu 并立
